Throughput,IndexDif,Distance,Width
4.668832339,3.510961919,208,50
3.79153555,3.510961919,208,50
4.359799384,2.367371066,208,50
4.250217353,2.367371066,208,50
3.958814491,2.367371066,208,50
3.818340428,2.367371066,208,50
4.973468625,2.367371066,208,50
3.642109332,2.367371066,208,50
3.906552914,2.367371066,208,50
4.37632576,3.754887502,208,50
4.08584059,3.754887502,208,50
4.167466706,3.754887502,208,50
5.629516495,3.754887502,208,50
4.670258087,3.754887502,208,50
4.927673887,3.754887502,208,50
4.734363554,2.584962501,208,50
3.97075653,2.584962501,208,50
4.322679767,2.584962501,208,50
3.677044809,2.584962501,208,50
5.108621543,2.584962501,208,50
3.516955783,2.584962501,208,50
3.91660985,2.584962501,208,50
5.412719892,4,208,50
3.84985563,4,208,50
3.132341425,4,208,50
3.613369467,4,208,50
2.617801047,4,208,50
4.08997955,4,208,50
3.352891869,4,208,50
4.208927919,2.807354922,208,50
5.419604097,2.807354922,208,50
3.679364249,2.807354922,208,50
4.016244524,2.807354922,208,50
4.848626808,2.807354922,208,50
2.903159175,2.807354922,208,50
4.312373152,2.807354922,208,50
